| Run on Wed Aug 19 06:36:16 2026
|
|gmx_MMPBSA Version=v1.5.0.3 based on MMPBSA.py v.16.0
|Complex Structure file:                /home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/results/md_systems/set_c_preparation_20260812_v1/PP-02_PfCRT_WT/runs/20260817T230459Z/replicate_1/production.tpr
|Complex (GROMACS) topology file:       /home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/results/md_systems/set_c_preparation_20260812_v1/PP-02_PfCRT_WT/runs/20260817T230459Z/replicate_1/topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-582"
|Ligand mask:                    ":583"
|Ligand residue name is:         "MOL0"
|
|Calculations performed using 100 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K)
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   2032.54         36.71      36.71         3.67       3.67
ANGLE                  4665.40         59.91      59.91         5.99       5.99
DIHED                  5757.02         36.45      36.45         3.65       3.65
UB                      559.95         10.90      10.90         1.09       1.09
IMP                     305.17         12.97      12.97         1.30       1.30
CMAP                   -225.23         15.10      15.10         1.51       1.51
VDWAALS               -4193.23         38.64      38.64         3.86       3.86
EEL                  -34388.25        133.23     133.23        13.32      13.32
1-4 VDW                2115.49         20.43      20.43         2.04       2.04
1-4 EEL               26467.45         92.46      92.46         9.25       9.25
EGB                   -5565.97         90.17      90.17         9.02       9.02
ESURF                   231.70          3.65       3.65         0.37       0.37

GGAS                   3096.31        187.05     134.85        18.71      13.48
GSOLV                 -5334.27         90.25      89.05         9.02       8.91

TOTAL                 -2237.96        207.69      89.42        20.77       8.94

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   2017.66         36.74      36.74         3.67       3.67
ANGLE                  4635.98         59.83      59.83         5.98       5.98
DIHED                  5720.99         36.33      36.33         3.63       3.63
UB                      559.95         10.90      10.90         1.09       1.09
IMP                     305.17         12.97      12.97         1.30       1.30
CMAP                   -225.23         15.10      15.10         1.51       1.51
VDWAALS               -4147.63         37.65      37.65         3.76       3.76
EEL                  -34357.22        133.34     133.34        13.33      13.33
1-4 VDW                2084.85         20.02      20.02         2.00       2.00
1-4 EEL               26463.88         92.41      92.41         9.24       9.24
EGB                   -5569.74         90.37      90.37         9.04       9.04
ESURF                   233.13          3.59       3.59         0.36       0.36

GGAS                   3058.41        186.82     135.13        18.68      13.51
GSOLV                 -5336.62         90.44      89.23         9.04       8.92

TOTAL                 -2278.21        207.56      88.85        20.76       8.89

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                     14.88          3.70       3.70         0.37       0.37
ANGLE                    29.43          4.72       4.72         0.47       0.47
DIHED                    36.02          4.56       4.56         0.46       0.46
UB                        0.00          0.00       0.00         0.00       0.00
IMP                       0.00          0.00       0.00         0.00       0.00
CMAP                      0.00          0.00       0.00         0.00       0.00
VDWAALS                  -8.41          1.67       1.67         0.17       0.17
EEL                     -24.65          2.13       2.13         0.21       0.21
1-4 VDW                  30.64          2.71       2.71         0.27       0.27
1-4 EEL                   3.57          2.43       2.43         0.24       0.24
EGB                     -19.79          1.62       1.62         0.16       0.16
ESURF                     3.64          0.06       0.06         0.01       0.01

GGAS                     81.47          8.79       5.16         0.88       0.52
GSOLV                   -16.15          1.62       1.59         0.16       0.16

TOTAL                    65.33          8.94       5.23         0.89       0.52

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                     0.00          3.67       0.00         0.37       0.00
ΔANGLE                    0.00          4.64       0.00         0.46       0.00
ΔDIHED                    0.00          4.44       0.00         0.44       0.00
ΔUB                       0.00          0.00       0.00         0.00       0.00
ΔIMP                      0.00          0.00       0.00         0.00       0.00
ΔCMAP                     0.00          0.00       0.00         0.00       0.00
ΔVDWAALS                -37.19          0.68       2.82         0.07       0.28
ΔEEL                     -6.38          2.01       1.89         0.20       0.19
Δ1-4 VDW                 -0.00          2.30       0.00         0.23       0.00
Δ1-4 EEL                  0.00          2.38       0.00         0.24       0.00
ΔEGB                     23.56          1.42       2.41         0.14       0.24
ΔESURF                   -5.06          0.00       0.36         0.00       0.04

ΔGGAS                   -43.57          2.12       3.53         0.21       0.35
ΔGSOLV                   18.49          1.42       2.20         0.14       0.22

ΔTOTAL                  -25.08          2.56       2.47         0.26       0.25
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
