| Run on Wed Aug 19 07:25:25 2026
|
|gmx_MMPBSA Version=v1.5.0.3 based on MMPBSA.py v.16.0
|Complex Structure file:                /home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/results/md_systems/set_c_preparation_20260812_v1/PP-01_PfDHFR_N51I/runs/20260813T173229Z/replicate_1/production.tpr
|Complex (GROMACS) topology file:       /home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/results/md_systems/set_c_preparation_20260812_v1/PP-01_PfDHFR_N51I/runs/20260813T173229Z/replicate_1/topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-1093"
|Ligand mask:                    ":1094"
|Ligand residue name is:         "MOL0"
|
|Calculations performed using 100 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K)
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   3813.91         56.68      56.68         5.67       5.67
ANGLE                  8943.36         70.33      70.33         7.03       7.03
DIHED                 11790.89         44.82      44.82         4.48       4.48
UB                     1214.63         13.68      13.68         1.37       1.37
IMP                     616.42         17.85      17.85         1.78       1.78
CMAP                   -560.32         22.23      22.23         2.22       2.22
VDWAALS               -8261.48         44.78      44.78         4.48       4.48
EEL                  -72291.87        288.11     288.11        28.81      28.81
1-4 VDW                3749.69         31.66      31.66         3.17       3.17
1-4 EEL               48495.51         96.17      96.17         9.62       9.62
EGB                  -13368.31        245.87     245.87        24.59      24.59
ESURF                   414.53          4.44       4.44         0.44       0.44

GGAS                  -2489.26        326.24     265.78        32.62      26.58
GSOLV                -12953.78        245.92     244.07        24.59      24.41

TOTAL                -15443.04        408.54     106.07        40.85      10.61

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   3800.56         56.63      56.63         5.66       5.66
ANGLE                  8927.28         70.13      70.13         7.01       7.01
DIHED                 11773.08         44.09      44.09         4.41       4.41
UB                     1214.63         13.68      13.68         1.37       1.37
IMP                     616.42         17.85      17.85         1.78       1.78
CMAP                   -560.32         22.23      22.23         2.22       2.22
VDWAALS               -8224.03         44.52      44.52         4.45       4.45
EEL                  -72355.41        288.86     288.86        28.89      28.89
1-4 VDW                3717.08         31.53      31.53         3.15       3.15
1-4 EEL               48705.69         96.03      96.03         9.60       9.60
EGB                  -13369.25        246.62     246.62        24.66      24.66
ESURF                   416.12          4.47       4.47         0.45       0.45

GGAS                  -2385.02        326.66     267.13        32.67      26.71
GSOLV                -12953.14        246.66     244.75        24.67      24.47

TOTAL                -15338.16        409.33     106.02        40.93      10.60

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                     13.35          3.09       3.09         0.31       0.31
ANGLE                    16.07          3.37       3.37         0.34       0.34
DIHED                    17.81          4.46       4.46         0.45       0.45
UB                        0.00          0.00       0.00         0.00       0.00
IMP                       0.00          0.00       0.00         0.00       0.00
CMAP                      0.00          0.00       0.00         0.00       0.00
VDWAALS                   0.80          1.69       1.69         0.17       0.17
EEL                      69.44          1.20       1.20         0.12       0.12
1-4 VDW                  32.61          2.24       2.24         0.22       0.22
1-4 EEL                -210.19          1.81       1.81         0.18       0.18
EGB                     -18.23          0.77       0.77         0.08       0.08
ESURF                     3.28          0.02       0.02         0.00       0.00

GGAS                    -60.10          7.30       4.46         0.73       0.45
GSOLV                   -14.95          0.77       0.77         0.08       0.08

TOTAL                   -75.05          7.34       4.38         0.73       0.44

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          3.04       0.00         0.30       0.00
ΔANGLE                    0.00          3.17       0.00         0.32       0.00
ΔDIHED                    0.00          3.73       0.00         0.37       0.00
ΔUB                       0.00          0.00       0.00         0.00       0.00
ΔIMP                      0.00          0.00       0.00         0.00       0.00
ΔCMAP                     0.00          0.00       0.00         0.00       0.00
ΔVDWAALS                -38.25          1.44       4.37         0.14       0.44
ΔEEL                     -5.89          0.44       3.28         0.04       0.33
Δ1-4 VDW                 -0.00          2.11       0.00         0.21       0.00
Δ1-4 EEL                  0.00          1.66       0.00         0.17       0.00
ΔEGB                     19.17          0.02       3.01         0.00       0.30
ΔESURF                   -4.86          0.01       0.46         0.00       0.05

ΔGGAS                   -44.15          1.50       5.85         0.15       0.59
ΔGSOLV                   14.31          0.02       2.76         0.00       0.28

ΔTOTAL                  -29.83          1.50       4.00         0.15       0.40
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
